Date,ABEV3.SA,BTOW3.SA,B3SA3.SA,BBSE3.SA,BRML3.SA,BBDC3.SA,BBDC4.SA,BRAP4.SA,BBAS3.SA,BRKM5.SA,BRFS3.SA,CCRO3.SA,CMIG4.SA,CIEL3.SA,CPLE6.SA,CSAN3.SA,CVCB3.SA,CYRE3.SA,ECOR3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,EGIE3.SA,EQTL3.SA,YDUQ3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,HYPE3.SA,IGTA3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,RENT3.SA,LAME4.SA,LREN3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PETR3.SA,PETR4.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,SBSP3.SA,SANB11.SA,CSNA3.SA,SMLS3.SA,SUZB3.SA,TAEE11.SA,VIVT4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VVAR3.SA,WEGE3.SA
29-09-17,19.55886841,20.89509964,21.69483948,21.58500671,12.98817635,22.56145477,22.51994705,20.47762489,30.1683979,35.81108475,45.66999817,15.18805027,6.35885334,18.43254471,24.75676346,33.718853,39.97758102,11.56100655,10.37933064,17.24200249,19.49128151,17.69575691,12.81353664,23.08568954,11.59412098,27.87594414,26.34361649,10.51817894,5.004545212,13.35000038,28.81498528,37.3156929,8.314868927,25.19953537,8.262547493,16.31569672,17.77732849,18.74603844,31.11454201,2.109954357,6.46999979,10.11427689,23.42162895,14.82543564,14.19385052,33.40365219,14.29944229,12.09000015,30.50117683,23.76014519,7.974730968,50.71283722,19.28943443,17.25027847,39.05051804,35.36833191,7.546227455,28.33851814,7.801390171,15.72344589
02-10-17,19.24280357,22.53580093,21.67671776,21.32867241,13.00664043,22.8451767,22.74487495,20.55409622,30.21162033,36.05584335,45.43999863,15.03368282,6.342917919,18.03001595,25.12508965,34.21252823,39.63589478,11.52749634,10.38842678,17.92260361,20.33312607,17.86391068,12.69504833,22.87553215,11.57519054,28.62253952,26.00393105,10.48006821,5.042386055,13.56999969,29.33400917,37.25867081,8.262080193,25.24315643,8.427798271,16.27123833,17.9713974,18.61949921,31.14909172,2.21430254,6.420000076,10.07021427,23.34497643,14.90982819,14.28662109,32.73381805,14.42146301,12.25,30.84028435,23.76874352,8.198786736,52.26924896,19.28943443,17.32005501,38.99330902,35.45756531,7.652921677,28.36519432,7.950650692,15.67048836
03-10-17,19.912117,24.41379929,22.16587257,21.5020752,13.28357315,23.9910984,23.72013664,21.15738106,31.43910027,37.57505035,47,15.26523399,6.709464073,18.13064575,25.44079781,35.19987869,40.45594406,11.82908726,10.4975872,19.02202415,21.77628899,17.91337013,12.83046246,23.38500786,11.69823074,29.23420906,25.96817207,10.86116314,5.316738129,14.39999962,30.27363396,37.70539093,8.586192131,26.10956383,8.554167747,16.68024063,18.48276901,19.12586021,32.18450928,2.245864868,6.670000076,10.32749271,23.50787163,15.60374546,14.824687,33.15686798,14.89429951,12.80000019,31.17021942,24.30171204,9.012026787,53.1262207,19.28943443,17.32781029,39.85533905,36.56590652,8.399785042,29.0587635,8.149666786,16.28202057
04-10-17,19.70760536,25.37260056,21.94847298,21.95443344,13.20049286,23.65327835,23.56587601,21.10639763,31.29215622,37.56661224,47.95000076,15.52251244,6.542130947,18.3486805,25.3794117,35.84258652,41.27599716,11.78719902,10.82506847,19.06566811,21.73333549,17.74521637,13.00819302,23.32132339,11.72662544,29.96281624,25.92348289,10.83258057,5.392420769,14.30000019,30.30047607,37.86697769,8.525907516,25.87702179,8.534726143,16.66246033,18.62143135,19.67121315,32.21042252,2.260367393,6.71999979,10.4818449,23.85924339,15.29429722,14.52782154,33.27145004,15.04491901,12.63000011,30.90443993,23.96645546,8.92904377,53.90758896,19.28943443,17.21926689,39.79320908,36.9181366,8.748968124,28.99651909,8.308878899,16.35567474
05-10-17,19.7354908,24.01849937,21.64954758,22.09013748,12.86817169,23.7005558,23.58522415,20.88547516,31.80215836,37.47377014,47.5,15.34241867,6.685560703,18.47447395,25.54603386,35.5631485,41.39314651,12.00501537,10.77958488,18.73405457,21.54435158,17.57705879,13.03358173,23.67795753,11.73608875,28.55957222,26.3883152,10.55628777,5.155910492,15.17000008,30.64947891,37.76242447,8.578727722,26.28986168,8.525006294,16.94698334,18.18400192,19.81729889,32.00331497,2.229087353,6.630000114,10.24663639,23.99339104,15.53810596,14.75047112,33.49179459,15.20126057,12.27999973,31.0602417,24.41346741,8.738181114,54.23807144,19.28943443,17.76972389,39.76990509,36.70209885,8.690771103,28.6941967,8.010355949,16.42204666
06-10-17,19.58675385,24.16670036,21.51367378,21.90165901,12.73893547,23.55862999,23.34092712,20.67305183,31.98368835,38.63849258,46.22000122,15.02510738,6.581970215,18.22289085,25.3004837,35.27439499,42.43774414,11.73693562,10.7341013,18.15819931,20.7454586,17.69575691,12.99126625,23.5314846,11.63197899,29.21621895,26.59391212,10.2514143,5.051846504,15.42000008,30.34521866,37.06857681,8.540996552,25.98168755,8.330592155,17.29374695,18.11617661,19.4861393,31.93430901,2.266044855,6.699999809,10.27598667,23.55903816,15.35056114,14.55565453,33.14805984,15.01822853,12.14999962,30.99608803,24.74012375,8.505825996,53.60739517,19.28943443,17.67669106,39.56021881,36.49546432,9.069051743,28.57859993,8.139716148,16.34829521
09-10-17,19.58675385,23.71199989,21.36873627,21.86396027,12.83124733,23.58565903,23.32802963,20.29068947,31.62927628,38.85793304,45.95000076,14.99937725,6.56603384,18.19773293,25.2390995,34.88317871,41.96914291,11.56100655,10.47029781,18.07963753,20.72827721,17.69575691,12.89816856,23.34679604,11.63197899,28.46961975,26.57603264,10.1942482,5.080228806,15.43999958,30.30047607,37.56282425,8.412882805,25.67343712,8.184782982,16.94698334,18.23329353,19.20374489,31.96877098,2.211745739,6.389999866,10.30541897,23.61653328,15.45371056,14.74119473,33.06873322,15.03348064,12.48999977,31.63764,25.18363762,8.215384483,54.28221893,19.28943443,17.40534019,39.7466011,35.78630829,8.904159546,28.00951958,7.980504036,16.34829521
10-10-17,20.04226303,24.6807003,21.66766357,21.95443344,12.89586544,23.86273766,23.86158752,20.02728462,32.30352783,38.50345612,46.88000107,15.2052021,6.653688908,18.08032608,25.79158783,35.72149277,42.51584244,11.90448475,10.65223122,18.58574867,21.26087379,17.80456161,13.19438648,23.6015358,11.64144421,29.08129311,26.44194794,10.62297916,5.354578495,15.60000038,31.00743103,37.9715271,8.586192131,26.23168564,8.252826691,16.87585258,18.24561882,19.41802979,32.25350952,2.263779402,6.440000057,10.43769646,23.92315483,15.67876816,15.01950645,34.02941895,15.03919983,12.94999981,31.10606575,26.14227676,8.2983675,54.69845963,19.28943443,17.32781029,40.26693726,36.27473068,9.166046143,27.84946251,8.169568062,16.53985023
11-10-17,20.10733223,23.62310028,21.77636528,21.93935585,12.93279076,23.84917831,23.72013664,19.8148613,32.32946396,38.73133469,46.95999908,15.53109074,6.661656857,18.21450424,25.44079781,35.6283493,42.98443985,12.00501537,10.98880863,18.35015106,20.83995247,17.60673332,13.10975266,23.56332588,11.70201778,28.01086807,26.57603264,10.49912643,5.269435406,15.47000027,31.19535065,38.41824722,8.563634872,26.16773415,8.359755516,17.10703087,17.86669922,19.34005356,32.00331497,2.189282417,6.630000114,10.51855183,23.91031456,15.60374546,14.91745758,33.40365219,14.93815041,13.05000019,30.70280647,25.65000343,8.007923126,55.60032654,19.28943443,17.45185852,40.07277679,36.25594711,9.408535004,27.65384102,7.990454197,16.7609005
12-10-17,20.10733223,23.62310028,21.77636528,21.93935585,12.93279076,23.84917831,23.72013664,19.8148613,32.32946396,38.73133469,46.95999908,15.53109074,6.661656857,18.21450424,25.44079781,35.6283493,42.98443985,12.00501537,10.98880863,18.35015106,20.83995247,17.60673332,13.10975266,23.56332588,11.70201778,28.01086807,26.57603264,10.49912643,5.269435406,15.47000027,31.19535065,38.41824722,8.563634872,26.16773415,8.359755516,17.10703087,17.86669922,19.34005356,32.00331497,2.189282417,6.630000114,10.51855183,23.91031456,15.60374546,14.91745758,33.40365219,14.93815041,13.05000019,30.70280647,25.65000343,8.007923126,55.60032654,19.28943443,17.45185852,40.07277679,36.25594711,9.408535004,27.65384102,7.990454197,16.7609005
